sep=;
Story Title;Estimate;Vote Started;Voting Duration;Avg Voting Time;Fastest;Slowest;
Prisidėti prie dizainerio ir programuotojų darbo;3;3/6/2022 8:08:21 PM;00:00:38;00:00:14;Gvidas;Semiras;
Atlikti komandos narių progreso stebėseną;0;3/6/2022 8:08:07 PM;00:00:12;00:00:04;Matas;Tomas;
Patobulinti dabartinį ligoninės logotipą;½;3/6/2022 8:07:49 PM;00:00:14;00:00:08;Gvidas;Tomas;
Sukurti duomenų bazei reikalingas lenteles;1;3/6/2022 8:07:12 PM;00:00:24;00:00:08;Matas;Semiras;
Suprogramuoti vartotojų roles;2;3/6/2022 8:06:41 PM;00:00:27;00:00:07;Gvidas;Tomas;
Ištestuoti užsakovo funkcinius reikalavimus;1;3/6/2022 8:05:41 PM;00:00:55;00:00:29;Semiras;Gvidas;
Sukurti prisijungimo ir registracijos puslapių šablonus;1;3/6/2022 8:05:17 PM;00:00:23;00:00:10;Tomas;Gvidas;
Sukurti registracijos puslapį;1;3/6/2022 8:04:50 PM;00:00:15;00:00:06;Semiras;Tomas;
Sukurti prisijungimo puslapį;1;3/6/2022 8:04:04 PM;00:00:44;00:00:09;Semiras;Gvidas;
Suprogramuoti pradinį puslapį ir įterpti dizaino šabloną;2;3/6/2022 8:03:40 PM;00:00:20;00:00:08;Gvidas;Tomas;
Sukurti pradinio puslapio dizaino šabloną (Flask integracijai);1;3/6/2022 8:02:17 PM;00:01:19;00:00:43;Semiras;Matas;
Sukurti Flask serverį;2;3/6/2022 8:00:48 PM;00:01:11;00:00:25;Matas;Tomas;
